"Items (%1)","Items (%1)"
"Category 11","Category 11"
"%1's home page","%1's home page"
"%1's items","%1's items"
Top,Top
Left,Left
"Not available","Not available"
About,About
"View All %1 Items","View All %1 Items"
"Refund Policy","Refund Policy"
"Shipping Policy","Shipping Policy"
item,item
items,items
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Remove This Item","Remove This Item"
"Shop By","Shop By"
"Clear All","Clear All"
"Shopping Options","Shopping Options"
"Scroll To Top","Scroll To Top"
Items,Items
